 ,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Hidraulica,27105.507,22935.484,26186.408,41833.806,30437.31814,20653.56661,37385.43684,39181.98523,28382.57998,36114.8882,18450.61874,34117.24135,24712.44231
Nuclear,52638.927,56460.291,50549.445,59242.322,55005.87487,58595.4388,54210.78812,54781.28134,54661.80331,56021.68206,55539.35105,53197.61743,55824.40739
Carbon,70630.103,46508.363,34793.025,23700.613,43177.46438,53779.89117,39441.53772,43246.0565,52616.4776,37313.77775,45019.42039,37276.80572,12672.4235
Fuel + Gas,9964.632,9887.57,9276.305,8821.744,7007.922875,7094.55551,6563.78101,6244.326021,6483.813428,6754.64403,7001.577449,6682.890448,5695.524046
Ciclo combinado,70624.091,93197.539,80223.795,66798.985,53430.94874,41074.44472,27569.90064,24828.834,29027.28934,29006.48209,37065.78708,30044.4672,55238.78375
Eolica,27611.664,32159.846,38252.839,43545.351,42477.25077,48524.52997,54713.39374,51032.03085,48117.88752,47696.66031,47906.95556,49581.48887,54237.92047
Solar fotovoltaica,483.935,2497.995,6072.423,6422.79,7440.75238,8202.259145,8327.274596,8207.926131,8243.560905,7977.467185,8397.752693,7766.178425,9240.358765
Solar termica,7.627,15.378,129.824,691.621,1861.641549,3447.493612,4441.527535,4958.914926,5085.235514,5071.201702,5347.952465,4424.326674,5166.431145
Otras renovables,1923.248,2078.374,2516.445,2459.048,3714.034268,3791.083419,4334.285439,3816.315717,3432.591921,3425.664828,3610.347882,3557.43911,3617.491458
Cogeneracion,20924.488,24222.645,26000.961,28110.746,30593.25172,32444.2851,30835.66459,24153.24388,25200.87777,25908.64356,28211.8067,29006.75724,29614.29177
Residuos no renovables,2383.0375,2485.621,2622.983,2970.77,1287.77048,1589.415894,1617.236029,1965.877044,2480.108969,2606.963765,2607.984515,2434.962786,2222.491119
Residuos renovables,736.8295,782.644,793.118,808.543,736.055744,719.789997,555.7395025,678.0715725,818.0497025,785.3950295,877.006087,874.075245,889.81375
